,title,catalog_product_id,site_id,category_id,domain_id,thumbnail,brand,package_length,package_weight,semantic_string
0,Huawei Freebuds Pro 3 Plata Glacial,MLM28292846,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_868758-MLA74006755938_012024-I.jpg,Huawei,10.2 cm,200 g,Huawei Freebuds Pro 3 Plata Glacial Huawei 10.2 cm 200 g
1,Audífonos Inalámbricos Bluetooth Función Carga Inalámbrica Bt3-0066 Negro Avedistante,MLM26195158,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_707983-MLA71875543786_092023-I.jpg,11,7.6 cm,60 g,Audífonos Inalámbricos Bluetooth Función Carga Inalámbrica Bt3-0066 Negro Avedistante 11 7.6 cm 60 g
2,Bocina Portátil Jbl Flip 6 Bluetooth Aprueba De Agua Color Negro,MLM18930466,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_804940-MLU74071985170_012024-I.jpg,JBL,10.8 cm,940 g,Bocina Portátil Jbl Flip 6 Bluetooth Aprueba De Agua Color Negro JBL 10.8 cm 940 g
3,Smart Tv Portátil Hisense H4f Series 40h4030f Led Full Hd 40 ,MLM15254609,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_969661-MLA44217501644_122020-I.jpg,Hisense,99.6 cm,7640 g,Smart Tv Portátil Hisense H4f Series 40h4030f Led Full Hd 40  Hisense 99.6 cm 7640 g
4,Asistente Virtual Amazon Echo Dot 5ta Generación Negro,MLM19795010,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_976672-MLU72754995740_112023-I.jpg,Amazon,15.4 cm,560 g,Asistente Virtual Amazon Echo Dot 5ta Generación Negro Amazon 15.4 cm 560 g
5,Audífonos Inalámbricos Jbl Tune 510bt Jblt510bt Negro,MLM17968066,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_958969-MLU72836483511_112023-I.jpg,JBL,23.6 cm,340 g,Audífonos Inalámbricos Jbl Tune 510bt Jblt510bt Negro JBL 23.6 cm 340 g
6,"Bocina Bluetooth Portátil 1hora Boc241, Bocinas Para Pc Bocinas Inalámbrica Bluetooth Rgb Altavoces Inalámbrico, Soporte 3.5 Mm Aux/tf/usb/bluetooth Para Interior, Hogar Y Fiesta",MLM22801217,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_952356-MLA74192411441_012024-I.jpg,1Hora,41.6 cm,760 g,"Bocina Bluetooth Portátil 1hora Boc241, Bocinas Para Pc Bocinas Inalámbrica Bluetooth Rgb Altavoces Inalámbrico, Soporte 3.5 Mm Aux/tf/usb/bluetooth Para Interior, Hogar Y Fiesta 1Hora 41.6 cm 760 g"
7,Audífonos In-ear Gamer Inalámbricos Bluetooth F9-5 Negro Con Luz  Azul Marino,MLM16224063,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_938092-MLA45480677826_042021-I.jpg,Shenzhen Yihaotong,,,Audífonos In-ear Gamer Inalámbricos Bluetooth F9-5 Negro Con Luz  Azul Marino Shenzhen Yihaotong  
8, Pantalla Sansui Smx32t1h Led Hd 32 ,MLM19898765,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_701075-MLA52767061033_122022-I.jpg,Sansui,78.4 cm,4700 g, Pantalla Sansui Smx32t1h Led Hd 32  Sansui 78.4 cm 4700 g
9,Asistente Virtual Amazon Echo Dot 5ta Gen Blanco Color Glacier White,MLM19795012,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_646450-MLA52316805283_112022-I.jpg,Amazon,15.4 cm,560 g,Asistente Virtual Amazon Echo Dot 5ta Gen Blanco Color Glacier White Amazon 15.4 cm 560 g
10,Audífonos In-ear Inalámbricos 1hora A8s Tws Negro Audífonos Bluetooth Con Microfono Auriculares Inalámbricos Bluetooth Deportivos,MLM18627231,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_944013-MLA71570454001_092023-I.jpg,1Hora,,,Audífonos In-ear Inalámbricos 1hora A8s Tws Negro Audífonos Bluetooth Con Microfono Auriculares Inalámbricos Bluetooth Deportivos 1Hora  
11,"Bocina Bluetooth Portátil, 1hora Boc060 Bluetooth 5.1 Altavoz Inalámbrico Con Sonido Estéreo Hd Reproducción Manos Libres 2400mah, 3.5mm Aux/micro Sd/tf/usb, Negro",MLM17385336,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_961832-MLU72830834321_112023-I.jpg,1Hora,7.5 cm,460 g,"Bocina Bluetooth Portátil, 1hora Boc060 Bluetooth 5.1 Altavoz Inalámbrico Con Sonido Estéreo Hd Reproducción Manos Libres 2400mah, 3.5mm Aux/micro Sd/tf/usb, Negro 1Hora 7.5 cm 460 g"
12,Bocina Portátil Jblcharge5 Bluetooth Bateria Integrada Color Verde,MLM18075341,MLM,MLM2868,MLM-SPEAKERS,http://http2.mlstatic.com/D_899211-MLU74224831469_012024-I.jpg,JBL,27.4 cm,1580 g,Bocina Portátil Jblcharge5 Bluetooth Bateria Integrada Color Verde JBL 27.4 cm 1580 g
